TestResponse,PredictValue,Tree 0Bias,Tree 0Dissimilarity,Tree 1Bias,Tree 1Dissimilarity,Tree 2Bias,Tree 2Dissimilarity,Tree 3Bias,Tree 3Dissimilarity,Tree 4Bias,Tree 4Dissimilarity,Tree 5Bias,Tree 5Dissimilarity,Tree 6Bias,Tree 6Dissimilarity,Tree 7Bias,Tree 7Dissimilarity,Tree 8Bias,Tree 8Dissimilarity,Tree 9Bias,Tree 9Dissimilarity,Tree 10Bias,Tree 10Dissimilarity,Tree 11Bias,Tree 11Dissimilarity,Tree 12Bias,Tree 12Dissimilarity,Tree 13Bias,Tree 13Dissimilarity,Tree 14Bias,Tree 14Dissimilarity,Tree 15Bias,Tree 15Dissimilarity,Tree 16Bias,Tree 16Dissimilarity,Tree 17Bias,Tree 17Dissimilarity,Tree 18Bias,Tree 18Dissimilarity,Tree 19Bias,Tree 19Dissimilarity
-1.11754,-1.10644,0.102953,5.9465,0.0197594,5.34795,0.105553,3.89291,0.0927259,3.36946,0.0547686,3.33955,0.131263,4.57931,0.0970589,4.08383,0.0180262,1.92025,0.0905883,2.61091,0.189325,4.33227,0.0882773,3.03459,0.0180262,1.92025,0.172282,4.49502,0.086833,2.93601,0.0963657,3.20667,0.03657,4.37402,0.0623513,3.50003,0.0691559,3.92544,0.0885662,5.4761,0.0322369,3.54936
-0.254399,-0.296853,0.104869,2.66913,0.847982,4.83015,0.0606717,1.49787,0.0918695,1.7754,0.0875365,1.33656,0.0983691,2.40964,0.385215,5.12944,0.0468061,1.42993,0.0225411,4.19044,1.53735,2.09133,0.090714,1.47497,0.0235623,4.47777,1.48015,5.84888,0.469883,7.02532,0.298988,2.6802,0.12545,3.07816,0.0101198,2.59448,0.0875365,1.82015,0.0989757,3.67534,0.113535,3.89298
0.580142,0.515247,0.709648,3.28403,0.31491,2.83805,0.220017,3.48566,0.198178,3.8112,0.00270092,2.72311,0.224552,2.42486,0.194018,2.85592,0.0449623,1.55348,0.0487176,2.59063,0.204071,3.6183,0.591559,4.1473,0.15089,5.13897,0.0364985,3.44799,0.13558,2.66668,0.214153,4.14555,0.15219,4.13177,0.146124,3.38524,0.0364985,1.54701,0.046609,2.43807,0.197167,2.71352
1.14863,0.91802,0.834638,3.15365,0.205194,4.04633,0.795424,3.51964,0.874719,2.78352,0.727562,4.41817,0.0874296,2.21875,0.993899,2.24619,0.248813,3.92518,0.801707,2.58006,0.4308,3.84459,0.603255,2.26161,0.871491,3.41374,0.737578,2.28464,0.804979,4.9165,0.393341,2.42675,0.92587,3.43732,0.511199,3.014,0.272211,3.40124,0.599593,2.35375,0.111023,4.16174
0.559343,0.567289,0.575279,3.04065,1.06087,3.47403,0.198599,3.28157,0.124071,4.4524,0.0544493,3.57549,0.398568,4.5917,0.4185,4.06769,1.35679,5.37794,0.0524898,5.08709,0.494858,3.38271,0.111645,4.83841,0.37452,2.44845,0.0358509,4.40216,0.431716,3.7665,0.0839139,4.96637,0.0525427,3.33561,0.37076,4.42659,0.156713,4.59066,0.46573,4.10089,0.617396,3.12677
-0.329794,0.59289,0.597707,7.38155,0.2203,3.78446,0.239434,2.20977,1.94752,5.67819,0.443624,2.21046,0.293095,3.582,0.201235,2.84296,1.94752,5.67819,0.191702,3.56079,0.0141165,4.16386,1.46481,5.05319,0.338592,3.70799,1.94752,5.67819,0.206579,2.89423,0.192482,3.66397,1.52393,3.11034,1.62342,2.21395,1.56787,1.94969,0.604986,2.68415,0.444603,6.11989
-0.2388,0.579154,0.262807,1.85803,0.443148,2.42921,0.166268,2.32421,0.145642,5.04704,0.170427,3.87943,0.240218,1.31228,0.593745,2.14331,0.344499,1.9019,0.493844,1.40239,0.65265,5.24511,0.19684,1.74357,1.49718,2.24183,0.683005,5.03462,1.55002,5.00349,0.289278,1.85647,0.029864,1.68161,0.476946,3.13532,1.03901,2.22838,0.417366,3.54007,1.09464,1.7047
0.547211,1.5811,0.644287,2.39947,0.270347,3.20352,0.778832,2.77149,0.959298,3.50634,1.26672,4.38632,0.27988,2.67863,0.365452,2.9049,0.959304,2.82336,0.959298,3.50634,0.307678,1.74689,0.365741,2.97601,1.51428,3.84999,0.86536,3.10798,0.198269,1.37639,1.36667,4.44027,0.364585,2.4657,0.329276,1.29259,0.412538,2.08159,0.464467,1.30883,0.348409,3.00738
-0.898287,-0.754736,0.196414,3.25338,0.0748336,4.91146,0.343914,5.39838,0.197891,2.26075,0.132285,4.4308,0.00897157,4.25159,0.137446,4.58318,0.113831,2.39125,0.266527,3.80395,0.332904,3.92386,0.223279,2.70997,0.196067,4.16453,0.209413,4.53688,0.145462,1.74876,0.00897157,4.25159,0.00749397,5.24027,0.0794221,1.78276,0.0421581,5.08325,0.0866194,3.10694,0.0349697,4.44406
-0.992746,-0.818642,0.216222,1.34406,0.28568,2.64916,0.303229,2.87083,0.258685,1.05119,1.00275,3.72168,0.0908598,2.64517,0.229784,2.73211,0.209115,3.61844,0.256432,2.10419,0.219168,1.99762,0.320149,3.30104,0.760962,3.78773,0.225812,1.35012,0.319521,1.96154,0.247333,1.53724,0.0844904,2.59692,0.0192712,3.44936,0.123574,2.48647,0.650903,6.47832,0.243433,1.29517
0.665936,0.799133,0.163817,1.34517,0.414324,2.30535,0.530622,2.44634,0.75646,5.05939,0.199233,5.45775,0.352102,2.76778,0.290284,3.5736,0.0123925,2.02844,0.0128258,4.47053,0.408778,1.43905,0.720409,3.41887,1.56266,9.64661,0.114305,3.41856,0.218124,1.92529,0.140072,2.87427,0.0950665,0.923187,0.198193,1.55617,1.42323,4.19576,1.02025,5.24264,0.493416,1.9181
2.26049,0.934343,0.560453,3.74246,0.33138,3.28148,0.310438,4.17901,1.04248,4.50931,0.103752,4.88257,0.187427,3.59609,0.319104,2.74149,0.0537058,2.96757,0.218798,3.64282,0.0747684,3.0728,0.568733,4.43758,1.29533,2.23785,0.776718,3.39822,0.478126,2.82884,0.713803,3.01197,0.13885,2.41945,0.448228,3.42799,0.0236387,2.69537,0.163682,2.00687,0.269321,3.04429
1.6192,0.933488,0.723194,5.43241,0.193891,2.89917,0.010171,3.65085,0.320416,4.06248,0.564821,4.54724,0.00265479,2.06706,0.488537,2.66881,0.162174,3.22641,0.354387,2.93102,0.320526,3.38326,0.128312,2.9508,0.25282,5.14963,0.603602,3.12889,0.513842,2.12663,0.251954,5.10751,0.120686,2.30321,0.12774,3.54021,0.285751,4.24473,0.0054279,6.92855,0.49246,2.51101
0.217901,0.365502,0.126246,5.04984,0.586393,2.87579,0.577438,4.64652,0.039276,4.04958,0.338428,2.43565,0.35472,4.23115,0.649019,3.5319,0.0707829,2.55426,0.10458,3.25016,0.233271,4.91439,0.126246,5.04984,0.130579,4.58569,0.241542,3.32309,0.112417,2.79377,0.252987,3.39241,0.82057,2.57852,0.203807,2.51678,0.21435,2.01497,0.749335,1.66845,0.133519,4.1372
-0.204136,-0.268696,0.22402,3.45072,0.0342331,4.33102,0.138871,4.15461,0.111072,2.53429,0.351406,2.14305,0.500896,1.72189,0.153825,5.54978,0.0547384,2.38116,0.529642,3.65889,0.115694,2.47945,0.0879582,2.45414,0.120894,2.2849,0.413806,3.25766,0.0763457,3.21144,0.241641,4.79493,0.0824119,3.68158,0.124356,2.43993,0.477064,1.67119,0.0763457,4.05885,0.0255671,3.08736
-0.360125,0.014822,0.909362,5.16118,0.656593,4.19745,0.197533,4.44738,0.00837284,3.90594,0.441675,5.66789,0.0803011,4.32715,0.51939,2.02193,0.0726749,5.05557,0.0103227,4.83176,0.274357,3.39659,0.203945,3.76888,0.230224,2.36006,0.382963,3.7209,0.138083,4.38468,0.42001,4.1346,1.30546,5.71465,0.16234,2.21093,0.169281,3.99488,0.125518,4.39674,1.23347,3.19211
-1.22066,-1.23615,0.00618184,2.83629,0.203017,6.12839,0.0512453,2.84546,0.0658042,3.08885,0.0330466,2.81458,0.0391128,3.87678,0.00618184,2.83629,0.00941706,4.14856,0.0177366,2.92383,0.0317466,2.45676,0.0694439,2.91863,0.0729103,2.95134,0.00206542,3.93381,0.168006,3.73599,0.113641,4.24272,0.150024,2.90383,0.0206974,4.1239,0.0344331,3.19203,0.000317693,4.1966,0.0334654,3.82402
-1.08634,-0.960303,0.12759,3.467,0.00644523,3.41958,0.123148,3.89294,0.129503,2.10165,0.117154,2.66635,0.209339,1.65748,0.074907,2.6062,0.205873,4.49916,0.279426,4.73274,0.153877,2.9809,0.162434,2.37121,0.0295189,2.59599,0.0718738,4.67563,0.213564,2.19703,0.635276,3.33501,0.269027,5.69386,0.0519421,3.7453,0.10188,4.31017,0.0919145,3.04158,0.0558416,2.39219
2.54041,0.916102,0.121174,2.74476,0.346636,3.90496,0.0161827,4.27756,0.542212,1.9904,0.360357,4.55388,0.139024,3.67223,1.66555,3.80881,0.788027,3.97495,0.879887,2.64205,0.387783,3.73126,1.11114,3.56207,0.909653,2.35257,1.11023,4.65106,1.87332,4.32445,0.0512802,3.58803,0.399268,4.42319,0.578135,3.20155,1.37004,1.79918,0.278463,3.46596,0.463916,4.23882
0.577542,0.454695,0.0630509,2.2369,0.489193,2.69269,0.401449,1.72719,0.0877384,4.98833,2.08572,4.24424,0.0735838,2.03446,0.580631,5.73739,0.113661,4.06993,0.58153,4.13393,0.0691171,1.12447,0.30127,2.47685,0.170943,2.91268,0.650685,3.96579,0.396539,2.01901,0.551805,4.16495,0.404338,2.16129,1.30403,2.21709,0.39951,2.11252,0.480527,3.3105,0.367998,3.0188
1.83672,1.31353,0.0246782,1.69747,1.14079,2.40407,0.671552,2.97528,0.865499,1.97449,0.423837,3.32114,1.16231,2.89435,1.15282,2.50668,1.1946,2.1349,1.0446,2.79896,0.943062,2.0928,0.102193,3.15043,1.18384,1.61418,0.563707,3.29236,0.901942,2.52194,0.379163,3.07966,0.943973,2.17804,1.59653,4.06792,1.03982,3.56574,0.314601,2.35139,0.967371,3.10158
-0.995346,-0.416108,0.136923,5.58914,0.0726207,6.04006,0.17956,5.60765,0.411767,4.89219,0.0270373,2.69528,0.418513,3.23489,0.275235,2.5389,0.158068,1.72471,0.069241,1.81734,0.614596,4.35866,0.00872302,6.24396,0.0302437,3.25886,0.121844,3.486,0.322031,1.39892,0.126178,5.23798,0.000345856,4.20351,0.0169863,5.09571,0.0644746,4.55461,0.34023,4.71204,0.39627,1.64543
-1.00835,-1.1088,0.258606,3.50262,0.167757,3.16562,0.145665,3.90377,0.111001,3.56276,0.149848,2.40715,0.467025,6.70889,0.0203538,4.03069,0.00928402,3.24904,0.104068,3.61184,0.0858691,3.02935,0.0512049,4.73615,0.0650706,4.52852,0.321152,4.11534,0.0863024,3.72298,0.223226,2.77383,0.0276332,2.80359,0.0124966,4.66191,0.181022,4.23268,0.0838122,2.57152,0.29873,4.54008
-0.380923,-0.465133,0.212343,3.23096,0.401387,2.44886,0.338125,3.84289,0.395667,5.30343,0.468982,1.84344,0.0492477,3.00223,0.0544474,1.95184,0.182482,1.75302,0.551012,2.43803,0.178372,2.28082,0.498447,2.28339,0.128325,2.80052,0.0241248,3.02634,0.237518,2.43754,0.372491,2.34023,0.0232004,3.15314,0.109563,5.7638,0.523281,2.36706,0.0901023,4.05427,0.00591749,1.67699
-0.420787,-0.0718356,0.10255,3.54216,0.077993,3.64072,0.227774,2.59695,0.264024,3.49889,0.120384,5.87687,0.456411,1.81206,0.109075,3.8955,0.319487,2.66864,0.0364537,1.25797,0.365998,1.68814,0.134611,2.79712,0.698887,6.31595,0.165448,2.28003,0.827898,3.0657,0.23384,3.48353,0.430993,3.89405,0.0913532,3.57135,0.41503,3.86035,0.0160019,1.62801,0.716106,4.28486
-0.395656,-0.243233,0.168542,2.69441,0.0921764,3.62857,0.378173,4.43927,0.243128,3.28384,0.194869,4.16666,0.383806,2.65461,0.265974,4.16776,0.0642024,4.60443,0.36243,3.50101,0.299945,2.19754,0.509464,3.65397,0.721115,2.86166,0.339809,1.92802,0.261832,5.10571,0.278947,3.57192,0.324227,4.09896,0.770078,3.43693,0.407898,4.49349,1.01489,3.99064,0.316211,4.05564
1.24049,1.31023,0.240729,3.71857,0.094864,3.07127,0.751462,3.66015,0.475651,4.62461,0.230113,3.11997,0.357851,4.06852,1.23018,4.77609,0.524759,2.39994,0.686539,3.0403,0.389336,2.81805,0.28595,3.92058,0.470537,3.46375,1.05772,3.97978,0.144319,2.92926,0.049859,2.86298,1.50552,3.95491,1.31244,3.32518,0.227455,1.40932,1.23018,4.42905,0.182739,3.50595
-0.42772,-0.151459,0.958652,3.17156,0.0582488,3.60708,0.14263,3.62953,0.89019,3.11892,0.119059,2.52879,0.0240786,3.37008,0.867658,2.65192,0.300092,2.49802,0.236397,0.974938,0.47974,2.96145,0.692231,5.05861,0.345589,1.8187,0.428263,3.75938,0.568679,3.32554,0.958652,3.17156,0.336576,5.1788,0.454781,2.66247,0.454781,2.66247,0.204185,2.40125,0.492045,5.55329
-0.320261,-0.602995,0.00723177,2.33034,0.0158199,3.04075,0.227407,2.11217,0.160716,1.45606,0.199272,4.4567,0.0953309,2.42898,0.348154,4.81515,0.200407,3.04701,0.010756,1.49574,0.070416,2.18669,0.415749,3.42837,0.0525062,1.87479,0.0584568,2.2551,0.103338,2.68263,0.189565,3.12924,0.227098,2.1712,0.094681,3.13474,0.219905,3.07373,0.206473,0.64874,0.0996639,3.18382
-1.02568,-0.697861,0.106139,3.6176,0.371147,5.30689,0.313688,1.95197,0.0115056,3.12322,0.405505,5.89437,0.490952,2.83987,0.027925,2.20177,0.0565691,2.7486,0.134217,4.42615,0.0756344,3.65686,0.187236,3.6451,0.0364205,3.44783,0.293152,3.12955,0.0959534,2.41627,0.13283,3.08084,0.256971,2.95452,0.344282,1.94247,0.10953,3.69784,0.0658851,3.29664,0.253964,5.00421
-1.14874,-0.430663,0.3333,5.69662,0.573566,3.39935,0.999539,3.63317,1.79855,5.12682,0.825532,2.10104,0.65741,3.19552,0.580282,1.88428,0.684094,4.9639,0.705362,2.53021,0.170378,5.13959,0.5701,2.63261,0.222194,3.74139,2.75441,4.76213,0.225841,8.22098,0.715039,4.26439,0.698834,4.09489,1.52795,6.57933,0.514767,3.30595,0.727027,3.31969,0.689301,2.9005
0.516013,0.391269,0.150164,4.04479,0.913449,3.16481,0.174524,2.98587,1.31729,4.73421,0.320943,2.86053,0.269562,4.93283,0.589677,2.30819,0.31973,1.26902,1.36295,4.65371,0.135316,4.45621,0.355356,3.69897,0.38097,3.28692,0.636907,3.9746,0.862146,3.26604,0.31973,1.26902,0.738684,3.30144,0.0633098,4.7707,0.038756,3.68797,0.393391,2.7578,0.123299,4.5427
-0.601041,-0.292551,0.877892,2.53087,0.679108,6.21118,0.0561776,4.6486,0.258227,3.51268,0.756568,2.93307,0.432414,2.0509,0.183525,4.65512,0.471845,4.04176,0.432414,2.0509,0.143011,7.01708,0.503476,2.85916,0.745259,5.82367,0.249561,5.06073,2.39965,5.0454,0.184565,4.11141,0.0199103,3.09529,0.224429,4.55713,0.276469,2.0588,0.172433,4.83381,0.047396,4.69516
-1.29519,-1.22219,0.0656344,4.13575,0.0308257,2.84948,0.0244707,3.14397,0.0480857,1.24282,0.0468291,1.44889,0.011125,4.4416,0.101887,3.28802,0.0301902,2.72184,0.131518,2.28967,0.0275037,2.23035,0.0275255,4.64669,0.130652,6.07009,0.259602,5.38888,0.0682561,3.85731,0.0290926,1.61696,0.0348699,5.03545,0.0405247,3.45952,0.0855663,3.61358,0.0364299,5.47467,0.0855663,3.84432
-0.514381,-0.0650956,0.710233,5.99355,0.51438,5.59798,2.6055,2.69134,0.698001,5.99418,0.282897,3.05463,0.637988,5.27447,0.753216,3.44508,0.222334,3.74659,0.644271,5.53283,0.339846,6.53439,0.103336,5.34045,0.857283,5.15716,1.04301,5.2712,1.1911,4.6681,0.777035,3.72253,1.30559,4.0534,0.319294,2.11709,0.969248,4.36869,0.975314,3.31374,0.0383408,4.71102
-0.492715,-0.962186,0.17303,3.60043,0.185162,4.23057,0.134553,5.09946,0.0214363,3.53051,0.281529,2.75555,0.433074,5.03638,0.10463,5.37694,0.0555183,4.18056,0.0446423,3.15446,0.273383,2.22354,0.0794988,3.85523,0.0794988,3.13417,0.116065,4.53737,0.182216,4.58509,0.0157167,3.44522,0.129006,4.20242,0.532733,3.70129,0.113123,3.77873,0.0794988,3.85523,0.115896,4.1613
-0.33846,-0.147063,0.0564521,3.61863,0.214795,2.43317,0.828597,1.64711,0.0317538,3.12004,0.00601569,2.88471,0.0281863,1.84593,0.13709,4.12761,0.0701011,2.52893,0.138086,4.14766,0.162178,2.2537,0.239349,4.65228,0.247943,3.36861,0.108882,1.85883,0.124668,2.08764,0.163232,4.14636,0.345653,3.18198,0.00464356,4.53785,0.186024,3.17835,0.114442,1.57778,0.403961,5.51361
0.180637,0.0759169,0.604578,3.56325,0.884664,2.71642,1.01268,4.15298,0.776906,3.27305,0.670718,3.96364,0.583711,5.35471,0.655881,6.96649,0.227084,6.02922,0.492439,4.3917,1.0904,6.69383,0.400232,4.61397,0.337249,4.46218,0.0932994,5.37983,0.658914,4.13051,0.540901,3.64123,1.01927,4.02087,0.252043,2.73196,0.635082,4.18094,0.155608,4.92098,0.710972,3.05159
0.393822,0.729164,0.443302,3.63321,1.21097,3.71476,0.160578,3.78363,0.151189,1.34614,0.701117,4.06036,0.37094,4.07028,0.246256,3.76289,0.0548517,2.64829,0.0909603,2.2336,0.242789,1.83765,0.085544,1.66458,0.37044,3.12183,0.0818609,2.59538,1.25384,4.02335,0.157472,4.68212,1.01274,3.52974,0.304645,4.06023,0.170905,1.647,1.29352,4.50531,0.165705,3.0525
-1.06727,-1.01958,0.193285,2.07283,0.0493639,6.20456,0.202385,5.32415,0.0901594,1.79215,0.143824,2.53846,0.129157,1.35673,0.115291,2.57647,0.279664,3.45935,0.0794713,4.44739,0.0528303,4.22849,0.153942,6.43172,0.10287,5.23056,0.231849,3.76415,0.102118,3.98859,0.211708,3.14103,0.215579,4.28189,0.399472,3.85762,0.0327252,4.08231,0.203446,3.8383,0.188086,2.2859
0.525546,0.266283,0.258396,3.33954,0.141404,5.26805,0.046944,4.7932,1.20068,4.41147,0.690537,5.52817,0.153762,3.59684,0.381159,4.22123,0.00297251,4.72312,0.215117,2.88638,0.170002,3.77376,0.289247,2.21251,0.474354,4.31388,0.110345,4.79609,1.51988,2.65682,1.6668,2.78863,1.23251,5.44712,0.54928,3.4577,0.164074,4.54299,0.170002,3.77376,0.0365968,4.07562
-0.724966,-1.21422,0.0429512,2.81725,0.0474577,2.6873,0.149435,5.9093,0.349441,4.83128,0.0897479,1.18537,0.0720692,3.112,0.258627,2.75956,0.0640386,1.55589,0.11072,3.35846,0.253428,2.82449,0.0715492,1.55592,0.0947309,2.6794,0.0509239,3.8327,0.0337652,3.87191,0.0836817,3.48956,0.149435,5.9093,0.118346,2.82849,0.28948,3.33667,0.21443,3.72534,0.0854149,1.74241
-0.839357,-0.241071,0.105831,2.97371,0.184915,3.32505,0.814937,3.26016,0.39831,4.02521,0.143318,2.49463,0.164984,2.99093,0.468295,3.33702,0.012461,4.01364,0.143318,2.52403,0.325948,2.83767,0.479554,4.04463,0.263408,3.32615,0.0523248,2.93622,0.723287,6.29145,0.961603,2.28801,0.134219,4.21345,0.227379,1.80028,0.4085,3.43268,0.273309,1.85987,0.229979,1.20883
-0.961549,-0.720633,0.0504372,3.02239,0.08406,3.44793,0.0678833,3.62258,0.118508,2.73688,0.0667292,3.05648,0.00844866,3.40699,0.23173,2.6574,0.240482,3.14881,0.251748,3.25194,0.253048,2.57224,0.622743,4.25423,0.0771271,3.10717,0.169637,3.27231,0.245682,2.31044,0.57716,3.58754,0.155123,3.4363,0.0216644,3.48748,0.0849265,3.84091,0.428681,4.60348,0.0459294,3.13787
0.824524,0.975089,0.0113303,2.5956,0.0385561,1.28975,0.144499,3.08868,0.106167,2.04778,0.134548,2.33851,0.357683,2.1073,0.0218896,2.55504,0.292688,2.01816,0.166613,3.50821,0.0169066,2.31618,0.278172,2.10615,0.48899,2.89594,0.406791,2.76773,0.0645976,3.02859,0.339485,2.96619,0.140615,2.19604,0.00410855,3.0587,0.0536652,1.67738,0.383437,4.47701,0.425078,2.68465
-0.201536,-0.047011,0.157991,2.84893,0.0461994,3.04253,0.406168,2.55344,0.291015,5.62532,0.112389,4.66551,0.306509,2.04295,0.189406,1.96334,0.341423,4.5726,0.372371,7.57371,0.157991,2.84893,0.138561,1.92893,0.312247,2.02878,0.269437,3.9884,0.244402,1.71815,0.287116,6.88449,0.406168,2.55344,0.512761,7.08646,0.098629,2.13925,0.631158,4.00149,0.283284,3.30485
-0.183337,-0.16696,0.0269529,1.87157,0.00771135,2.55619,0.0219699,3.04169,0.011354,3.06042,0.0337095,2.9097,0.196342,1.65972,0.0896373,3.25516,0.0263433,4.11776,0.0845821,2.52248,0.00199462,2.65397,0.0267767,2.79502,0.11777,0.926212,0.0136043,2.83494,0.0209271,3.10622,0.0214037,2.18915,0.0124777,2.31178,0.196807,3.3616,0.103038,2.40753,0.158157,2.52252,0.0113511,1.73096
0.367823,1.5569,1.15702,5.48957,0.417802,5.40936,0.0217633,4.46517,0.35716,4.8776,0.983505,5.40859,0.630987,4.43475,0.488322,4.63565,0.254013,4.9713,0.983507,4.88931,0.543748,5.16446,0.339591,4.35727,0.10929,4.03896,0.528149,4.33958,0.983507,4.15375,0.44224,3.52631,0.564933,5.65272,0.410869,5.70549,0.0839626,4.65529,0.0856957,4.81281,0.324879,4.50408
